Comment,Designator,Footprint,LCSC
USB_C,J1,MB_Molex-216990_USB_TYPE-C,C223906
D,"D15,D14,D06,D07,D13,D08,D04,D01,D10,D05,D09,D12,D11,D02,D03",D_SOD-323,C2760579
10k,"R5,R2",R_0805,C25804
39,"R4",R_0805,C23154
15k,"R3",R_0805,C22809
AP7335-WG-7,"IC1",SOT-23-5_HandSoldering,C460382
4.7uF,"C17",C_0603_1608Metric,C19666
1uF,"C16,C15,C6,C2,C3,C13,C4,C14,C11,C5,C1,C7,C10,C8,C9,C12",C_0603_1608Metric,C15849
500,R1,R_0805,C2828857
SK6812MINI,"LED02,LED09,LED12,LED10,LED04,LED05,LED06,LED07,LED03,LED08,LED11,LED14,LED13,LED01",MB_SK6812_Mini,C2886570
